filename,chroma_cqt,chroma_cens,spec_contrast,spectral_flatness,tonnetz,cluster,label
13654-302143__0__20170127_005000.wav,0.6804136037826538,0.2816984224602683,20.590028950954256,0.0004498855269048363,0.0021469193613659144,Cluster6,alta
13654-302143__0__20170205_083000.wav,0.5920852422714233,0.2703006392678775,18.85644731768583,0.00016029734979383647,-0.00025924244913876727,Cluster1,alta
SM302143__0__20170603_135000.wav,0.7037473320960999,0.2829548892939397,18.423287453757517,9.29275993257761e-05,0.004008784246308624,Cluster1,alta
13654-302143__0__20170127_073000.wav,0.6784060597419739,0.28186877277196337,18.71141986963944,0.00015663226076867431,0.0008168551957367205,Cluster1,alta
SM302143__0__20170524_203000.wav,0.7154626250267029,0.28422911486179475,21.62342707922706,0.0009179167100228369,0.0034549993005518202,Cluster1,alta
SM302143__0__20170603_195000.wav,0.7211892604827881,0.2846552064595234,21.26149264008404,0.0004812365514226258,0.0028354159871781335,Cluster1,alta
13654-302143__0__20170212_121000.wav,0.6715630888938904,0.28100217870305877,18.208743101345345,0.00013403435877989978,0.005363818230358457,Cluster1,alta
SM302143__0__20170514_175000.wav,0.7361853718757629,0.28620598454647206,19.255018099893235,0.0003457185230217874,0.0014256909714576095,Cluster1,alta
SM302143__0__20170510_004000.wav,0.6991215944290161,0.283079092525521,21.159942302575313,0.0005917326197959483,0.0053385421176897156,Cluster1,alta
13654-302143__0__20170215_021000.wav,0.7280896902084351,0.2860664052236697,20.07508704491475,0.0007839612662792206,0.002410033687867021,Cluster1,alta
SM302143__0__20170601_191000.wav,0.7253856658935547,0.2845795088064276,21.485454973567823,0.00059855094878003,0.005539442852319549,Cluster1,alta
13654-302143__0__20170123_001000.wav,0.7199072241783142,0.28472477336455937,20.215160135703883,0.0009139739559032023,0.003167853563579815,Cluster1,alta
13654-302143__0__20170213_204000.wav,0.737543523311615,0.2865572194279194,20.17592019459749,0.0021615209989249706,0.0046775569639801,Cluster1,alta
SM302143__0__20170522_014000.wav,0.7413420677185059,0.2865258100642399,20.26521228085548,0.0006661815568804741,-0.00038482548158447574,Cluster1,alta
