,Grabadora,Lugar,DiaGrabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20170306,302151,Bolívar,20170306302151,Baja,Alta,75º11'14.7''W,"2,32457622549725","-0,572598193961949","0,130505219635682","1,1917472715278","-0,328701708973977","-1,17084621422691","0,372577832070738","1,07563870153145","-1,137299174177","0,210057818326083","-0,62636588106358","-0,459602542021498","-0,998146430287809","-0,57833310783049","0,274701675036906","-0,956737184314284","-1,04386588062738","-0,460918827623863","-0,686627596379841","-3,27500661743828","-1,87041823247785","-0,545374805416703","-0,80709723330513","-0,163994197020599","0,32523613601522","-0,320800853952141","-0,885267589868582","-1,39343411033444","-1,12820957043676"
20170202,302298,Bolívar,20170202302298,Baja,Media,75º11'30.4''W,"-0,457284744977268","-0,618380666921828","-0,75462005892098","1,22164120758355","0,009834338849295","0,52299809329566","1,35679009167472","-0,104485293647425","-0,95029949979914","1,8715964007114","1,2251742617841","-0,209312049954029","-0,998146430287809","-1,66808047468987","0,470230410768887","-0,686715837251193","-0,919401809306262","-0,377068527988679","0,19806139782061","1,09053197637905","1,59191274145745","1,41977121240148","1,68526361413161","1,314935219726","1,42768166527933","1,68897127298058","1,43260250320109","1,11382633949969","0,896996783839428"
20170203,302298,Bolívar,20170203302298,Baja,Media,75º11'30.4''W,"-0,336679211539835","-0,579981648284568","-0,387524367813999","1,42327597142969","-0,051851650482758","0,090570362326216","1,35036472424006","0,211214498193967","-0,908138041024055","1,85001205162237","1,30515074210724","-0,208495915885381","-0,998146430287809","-1,66014902831519","-0,005060646657449","-0,691736983295562","-0,887650171904926","-0,331630269828435","-0,181597316238133","0,694974236551297","0,954330600237531","0,986775922454466","1,11330849260011","1,01698454949605","0,938275137378314","1,27032681857505","0,959053618218634","0,639909349542586","0,500945619785837"
20170204,302298,Bolívar,20170204302298,Baja,Media,75º11'30.4''W,"0,007880427340813","-0,13041849523259","-0,00656397887413","1,70461933507054","-0,1924265338336","-0,020221296719063","1,54677332370476","0,544159847133078","-0,903555323776549","1,84335088855103","0,579235535383333","-0,20686653970953","-0,998146430287809","-1,63802919455282","-0,639941015983122","-0,925289992192083","-0,868938977563627","-0,454197216114117","0,127182637720278","0,798898754932332","1,26224875793074","0,584137343135453","1,13626670833909","0,818111872424893","0,876253135652684","1,17246318968818","0,775172541796494","0,335496805427112","0,436208815231538"
20170205,302298,Bolívar,20170205302298,Baja,Media,75º11'30.4''W,"-0,085619145463743","-0,270297782811515","-0,175807851424245","0,965228046449437","-0,169965445466852","0,492321617478267","1,38178373062658","0,722255355911304","-0,89011109888849","1,89998849051661","0,960761221537562","-0,213769961110362","-0,998146430287809","-1,59564588605566","-0,41001211471532","-0,694573608958884","-0,849254833305072","-0,401267970585943","-0,113791961969756","0,69669969140574","1,33017559542569","0,551197689690558","1,25960119846661","1,05311555617","0,915666888686859","1,1958235589173","1,10706504983491","0,956343440337606","0,801506490413303"
20170206,302298,Bolívar,20170206302298,Baja,Media,75º11'30.4''W,"-0,254595052597577","-0,196254409320397","-0,06893185673413","1,10713202081304","-0,036114690247359","0,40588702175384","1,17990078367692","0,702744587757575","-0,916669542448596","1,50251929123721","1,02557546902209","-0,229660276444738","-0,998146430287809","-1,45305850357788","-0,572719732427532","-0,496760693723301","-0,898339942095385","-0,459949112744088","-0,12450125504162","0,389349156334962","1,01793985558424","1,06557391146444","1,10992824436337","0,875583774871196","0,875780095094536","1,33053202943971","1,08066785784874","0,878720140221779","0,408212499668346"
20170212,302298,Bolívar,20170212302298,Baja,Baja,75º11'5.7''W,"2,43193372989327","-1,30791220022481","0,846672842529109","0,73365091889307","-0,36743647696151","-0,01142314344572","0,255061818003171","1,04899223218775","-0,993104329755836","-0,026927009056488","-0,904507759709504","-0,458700883567631","-0,998146430287809","-0,968181623515216","-0,573009093737339","-0,825524585389189","-0,833701002649262","-0,340829983229577","-1,02587240270317","-1,34253663268322","-0,701073141821422","-0,621876260008355","-0,967564037456783","-0,233725884456834","-0,967355328276551","-0,234428497263406","-0,310807544569835","-0,235203541711752","-0,052425559611972"
20170213,302298,Bolívar,20170213302298,Baja,Baja,75º11'5.7''W,"2,16773546376638","-0,850822752916903","1,0596812243627","2,00750367406102","-0,046558273355133","0,240462187971281","0,626182837192608","2,53183623669942","-0,92309441435226","0,202997108423985","-0,144304268406406","-0,421865662511239","-0,998146430287809","-1,06405869151307","-1,01884196141827","-0,631920219775617","-0,878356201134061","-0,403150999367933","-0,369364400358837","-1,10042687081171","-1,13803878943983","-1,22912010157235","-0,819412106063182","-0,268659694874729","-1,42779286609385","0,03188196361602","0,16690497179167","0,107673082874847","-0,077166483876507"
20170214,302298,Bolívar,20170214302298,Baja,Baja,75º11'5.7''W,"2,61977072335356","-0,867379587036628","1,3726676168989","2,43254006297975","-0,167604919763162","0,368814399692417","0,787113489677926","1,99643985888848","-0,811067234311709","0,292275862519401","-0,274437232539374","-0,348919397550568","-0,998146430287809","-0,94452038891225","-1,52212338552315","-0,643793029360567","-0,793005886697571","-0,398346127330765","-0,574588136616942","-1,03596709041321","-0,893449326929718","-1,07142218373323","-0,866907134587463","-0,427565537072255","-0,842402780984171","-0,130375185954403","0,029580962487359","0,163447916537883","0,266178314502046"
20170215,302298,Bolívar,20170215302298,Baja,Baja,75º11'5.7''W,"2,31236828336722","-1,20818640712019","0,950260775273138","1,14527816581937","-0,345254003528435","0,100599973023061","0,511595645349174","0,810253688245739","-0,930828964714529","0,258152031982255","-0,320426383529321","-0,447856448478449","-0,998146430287809","-0,940509918591642","-0,893013284026973","-0,669785388497343","-0,811128113978914","-0,39794673838267","-0,711871046604579","-1,73372248521096","-1,36797487988499","-1,20041017147026","-1,31056245363162","-1,09971392119975","-0,97861023861765","-0,351656679002769","-0,361479618976026","-0,408172900553963","0,024080929452056"
