,chroma_stft,spectral_centroid,spectral_bandwidth,tonnets,te,ems,md,p
9061,0.9040952324867249,766.6509597220681,1890.9810776232991,0.0009164999999999999,0.9999757226564392,0.9912313544246202,-7.981813810350706,4.496168376558316
9062,0.9057332277297974,701.4666526960903,1852.3318033557348,0.0020635000000000002,0.9999798779019616,0.9875703189932616,-7.893227542189474,2.3838368446538167
9063,0.9083787202835084,707.8257801307103,1846.5272427511093,0.0036088,0.9999767370147032,0.9910916298262752,-7.934494071764046,2.8616041855285657
9064,0.8915812969207764,710.6597742202035,1842.5169030890195,0.00046110000000000004,0.9999781093772936,0.990695455617196,-7.922312148842338,2.702279844046632
9065,0.9039151072502136,728.9396414371556,1851.1875469413571,-0.001663,0.9999700103723462,0.9921788167161116,-7.991693901379088,2.947754914995408
9066,0.9073433876037598,687.4152204302974,1823.563315792088,0.0032935000000000004,0.9999784163252754,0.983200835538256,-7.922124179073763,2.2488544155053733
9067,0.911922574043274,672.6421952980268,1820.9056498166208,0.0031314,0.9999798686547748,0.9847650297664824,-7.880489336992616,1.4200947060480924
9068,0.9046024680137634,550.9476468875267,1710.9750669465811,0.0049559,0.999985231585956,0.9276833261053476,-7.579635376607678,0.7775844398289488
9069,0.8825280666351318,539.8195786607655,1684.2841947555758,0.0111885,0.9999745679666424,0.9902124473344732,-7.7973355947056255,0.6069885685663874
9070,0.9047333002090454,539.5345296098726,1696.329096181148,0.0038953000000000004,0.9999706552170092,0.9866132802640944,-7.7765462120017625,0.3880840956986629
9071,0.8827914595603943,580.5122869456965,1736.3887859244305,0.0060831,0.9999776244914906,0.949472652485262,-8.052275232078905,0.5843329094324783
9072,0.90760737657547,507.39790741356353,1668.2795175703845,0.0022697,0.9999777439841806,0.980417329143104,-7.76568853325716,0.40956182130611374
9073,0.9059035778045654,578.8945276342338,1755.4293648515948,0.0051472,0.9999786946723708,0.9761068935978968,-8.093423630131575,0.7235464941302511
9074,0.9070379734039308,683.230395382989,1911.6018875335503,0.0057379,0.9999785240391054,0.958006039279818,-8.259385023867994,0.7152262991173495
9075,0.9037649631500244,587.3105930244831,1764.8599770470275,0.0025638,0.9999820404989996,0.9768818308228024,-8.025998328386981,0.6925103844121209
9076,0.897206723690033,644.3679027242321,1766.2705149535602,0.0053853,0.9999733073306352,0.9708959532506686,-8.45919900925306,0.6484736976048582
9077,0.9021897315979004,583.2833931566038,1743.3588900623415,0.0035366,0.9999749724561507,0.9605725759066462,-8.421354568669006,0.8499424304709147
9078,0.897989809513092,592.3037360166328,1753.2057939244935,0.0010767,0.9999687453899476,0.9740055596484464,-8.742582304884397,1.1119177350420957
9079,0.90151846408844,612.7553422306704,1775.2348479463726,0.0012639,0.9999590949855508,0.90437876519648,-9.93420019061908,1.4227456599008663
9080,0.900810480117798,587.3574895251263,1759.5116569761872,0.0033312,0.9999727449914836,0.9175413145971396,-8.625910695838066,1.2284413388456508
9081,0.8947824239730835,652.4840889533617,1893.8660952195794,0.004936199999999999,0.9999848625578311,0.9853957671575158,-7.764491724883769,1.1004668665446729
9082,0.8890281319618225,811.6681627841597,1958.0775867807336,0.005129600000000001,0.9999687632137952,0.8149185068112735,-9.302691368894768,1.622658692206859
9083,0.9032107591629028,606.1531804422018,1843.3027919834165,0.0033753999999999998,0.9999859418677502,0.938429111200582,-7.926434743337989,1.0098283240053267
